citrus fruit,,,,,,,,,
pip fruit,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
chicken,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,salty snack,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,baking powder,,,,,,,,
,,,,,,,,,
,,,,,,,,,
hygiene articles,,,,,,,,,
,,,,,,,,,
other vegetables,salty snack,,,,,,,,
,,,,,,,,,
pip fruit,,,,,,,,,
candles,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
onions,,,,,,,,,
candles,,,,,,,,,
onions,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
salty snack,candles,,,,,,,,
citrus fruit,,,,,,,,,
citrus fruit,onions,,,,,,,,
,,,,,,,,,
,,,,,,,,,
chicken,citrus fruit,other vegetables,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pip fruit,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,pip fruit,canned fruit,hygiene articles,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
pip fruit,other vegetables,baking powder,,,,,,,
,,,,,,,,,
citrus fruit,onions,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,candles,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
flower soil/fertilizer,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
salty snack,,,,,,,,,
salty snack,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pip fruit,other vegetables,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pip fruit,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
hygiene articles,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,
onions,baking powder,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,
,,,,,,,,,
salty snack,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,
citrus fruit,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
hygiene articles,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
pip fruit,hygiene articles,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pip fruit,other vegetables,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pip fruit,onions,other vegetables,hygiene articles,,,,,,
citrus fruit,,,,,,,,,
hygiene articles,,,,,,,,,
,,,,,,,,,
hygiene articles,,,,,,,,,
citrus fruit,pip fruit,other vegetables,baking powder,,,,,,
other vegetables,,,,,,,,,
chicken,pip fruit,other vegetables,,,,,,,
chicken,citrus fruit,,,,,,,,
citrus fruit,onions,other vegetables,,,,,,,
pip fruit,,,,,,,,,
,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
citrus fruit,other vegetables,salty snack,,,,,,,
chicken,other vegetables,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
citrus fruit,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,
hygiene articles,,,,,,,,,
onions,,,,,,,,,
,,,,,,,,,
chicken,,,,,,,,,
chicken,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
salty snack,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
chicken,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
hygiene articles,,,,,,,,,
other vegetables,,,,,,,,,
salty snack,,,,,,,,,
,,,,,,,,,
rubbing alcohol,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
salty snack,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
salty snack,,,,,,,,,
pip fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
hygiene articles,,,,,,,,,
citrus fruit,,,,,,,,,
pip fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,
salty snack,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
onions,syrup,,,,,,,,
salty snack,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
onions,,,,,,,,,
hygiene articles,,,,,,,,,
other vegetables,,,,,,,,,
hygiene articles,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
baking powder,salty snack,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
citrus fruit,onions,other vegetables,,,,,,,
,,,,,,,,,
,,,,,,,,,
citrus fruit,other vegetables,hygiene articles,,,,,,,
salty snack,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
chicken,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
citrus fruit,,,,,,,,,
canned fruit,,,,,,,,,
other vegetables,,,,,,,,,
salty snack,,,,,,,,,
citrus fruit,,,,,,,,,
,,,,,,,,,
onions,other vegetables,,,,,,,,
other vegetables,hygiene articles,,,,,,,,
onions,other vegetables,,,,,,,,
hygiene articles,,,,,,,,,
other vegetables,,,,,,,,,
hygiene articles,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
hygiene articles,,,,,,,,,
salty snack,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
hygiene articles,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,salty snack,,,,,,,,
onions,hygiene articles,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,
,,,,,,,,,
pip fruit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
other vegetables,,,,,,,,,
salty snack,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,
other vegetables,hygiene articles,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
pip fruit,,,,,,,,,
pip fruit,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
hygiene articles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
hygiene articles,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
citrus fruit,other vegetables,hygiene articles,,,,,,,
other vegetables,,,,,,,,,
,,,,,,,,,
other vegetables,,,,,,,,,
salty snack,,,,,,,,,
,,,,,,,,,
citrus fruit,,,,,,,,,
